sampleid,lakeid,lake.name,date,tn,tp,tn.tp.atomic,chla,secchi,total.carbon,doc,ph,alkalinity,cyanophyta.bio,total.bio,cyanophyta.ra
2014188001,3,(003) Arrowhead Lake (Sac) (Sac ) ,7/7/14,0.74,21.05,77.73878517,7.77,2.75,43.26,6.05,8.9,152.2,4.0595,6.3494,0.63935175
2014188002,6,(006) Badger Lake (Webster ) ,7/7/14,20.08,115.4,384.7831359,20.16,0.78,63.13,3.96,8.24,232.6,1.161,17.4498,0.066533714
2014188003,11,(011) Black Hawk Lake (Sac ) ,7/7/14,3.32,348.95,21.03938356,140.64,0.98,53.63,10.72,9.4,178.3,90.5278,90.5339,0.999932622
2014188004,16,(016) Brushy Creek Lake (Webster ) ,7/7/14,12.16,89.15,301.6270992,2.73,5.95,43.12,5.55,8.28,149.5,0.0642,1.7804,0.036059313
2014188005,24,(024) Crawford Creek Impoundment (Ida ) ,7/7/14,1.01,51.75,43.15877901,33.92,1.08,42.79,5.53,8.94,157.9,3.0107,34.0543,0.088408806
2014188006,31,(031) Don Williams Lake (Boone ) ,7/7/14,11.95,240.45,109.9009013,13.23,0.85,40.4,4.41,8.13,144.75,0.4418,5.56,0.079460432
2014188008,86,(086) Moorehead Park Pond (Ida ) ,7/7/14,0.97,54.15,39.61242258,19.48,1.5,42.4,5.8,8.88,150.5,3.4173,23.1448,0.147648716
2014188009,111,(111) Spring Lake (Greene ) ,7/7/14,1.4,54.5,56.80540538,43.16,0.43,40.95,6.77,8.64,137.4,59.1898,115.7636,0.511298888
2014188010,112,(112) Springbrook Lake (Guthrie ) ,7/7/14,5.16,121.7,93.75992547,45.92,0.6,36.49,4.18,8.47,130.1,8.01,17.7752,0.450627841
2014188011,113,(113) Storm Lake (incl Little Storm Lake) (Buena Vista ) ,7/7/14,1.15,34.4,73.92605445,9.04,0.78,37.94,4.13,8.66,140.3,1.3041,3.532,0.369224236
2014188012,114,(114) Swan Lake (Carroll ) ,7/7/14,2.18,541.2,8.907520607,60,0.9,42.73,12.81,9.62,144.2,30.4583,58.9051,0.517074073
2014189001,28,(028) DeSoto Bend Lake (Harrison ) ,7/8/14,1.11,122.95,19.96423052,40.72,0.35,65.69,5.47,8.45,239.55,12.9659,22.743,0.570105087
2014189002,80,(080) Manteno Park Pond (Shelby ) ,7/8/14,1.33,108.25,27.16951375,51.89,1.4,52.28,6.22,8.07,178.1,1.3414,38.0114,0.035289413
2014189004,88,(088) Nelson Park Lake (Crawford ) ,7/8/14,0.65,27.75,51.79746424,7.02,4.13,52.71,4.72,8.51,193.2,0.0097,3.481,0.002786556
2014189005,91,(091) Oldham Lake (Monona ) ,7/8/14,1.49,125.8,26.1917042,32.16,0.45,41.49,5.04,8.73,153.1,45.3141,53.7023,0.843801848
2014189006,129,(129) Willow Lake (Harrison ) ,7/8/14,0.63,21.8,63.90608105,2.05,3.98,52.91,4.66,8.52,193.8,0.0549,3.1716,0.017309875
2014189007,132,(132) Yellow Smoke Park Lake (Crawford ) ,7/8/14,0.97,41.15,52.12667515,12.12,4.1,50.2,6.35,8.42,175.1,15.2705,45.5804,0.335023387
2014190001,12,(012) Blue Lake (Monona ) ,7/9/14,1.62,124.8,28.70506663,71.76,0.55,63.75,6.69,8.43,226.3,1.2115,23.9016,0.050686983
2014190002,15,(015) Browns Lake (Woodbury ) ,7/9/14,1.09,130.45,18.47738656,39.6,0.33,39.1,6.02,8.24,136.8,18.4157,23.7496,0.775410954
2014190004,73,(073) Little Sioux Park Lake (Woodbury ) ,7/9/14,0.59,22.05,59.16999709,5.09,2.48,46.85,5.53,8.36,169,3.8182,8.8046,0.433659678
