refsoilID	OTU	soil	sediment	peat	rocky	ag	silt	loam
gi|556503834	141145	3153.0	3153.0	1	1	1	1	1
gi|255767013	4441266	720.0	720.0	1	1	1	1	1
gi|15805042	New.5.CleanUp.ReferenceOTU446412	6.0	6.0	1	1	1	1	1
gi|110645304	827497	3939.0	3939.0	1	1	1	1	1
gi|57596592	4314198	17.0	17.0	1	1	1	1	1
gi|16445223	141145	3153.0	3153.0	1	1	1	1	1
gi|15829254	141145	3153.0	3153.0	1	1	1	1	1
gi|33598993	4483058	1303.0	1303.0	1	1	1	1	1
gi|46562128	1720567	1	1	1	1	1	1	1
gi|400756305	2654188	281.0	281.0	1	1	1	1	1
gi|52840256	New.5.CleanUp.ReferenceOTU328310	21.0	21.0	1	1	1	1	1
gi|26986745	277094	96.0	96.0	1	1	1	1	1
gi|77358712	New.13.CleanUp.ReferenceOTU30545	24.0	24.0	1	1	1	1	1
gi|85700163	675580	6.0	6.0	1	1	1	1	1
gi|15893298	562096	75.0	75.0	1	1	1	1	1
gi|15963753	New.24.CleanUp.ReferenceOTU38683	383.0	383.0	29.0	1	1	1	1
gi|159184118	4045633	3543.0	3543.0	1	1	1	1	1
gi|159185562	4045633	3543.0	3543.0	1	1	1	1	1
gi|16120353	274754	1208794.0	1208794.0	1	1	1	1	1
gi|162960844	77193	8.0	8.0	1	1	1	1	1
gi|16763390	676211	455.0	455.0	1	1	2.0	1	1
gi|16758993	676211	455.0	455.0	1	1	2.0	1	1
gi|16802048	675580	6.0	6.0	1	1	1	1	1
gi|16799079	675580	6.0	6.0	1	1	1	1	1
gi|17227497	New.59.CleanUp.ReferenceOTU1749933	7.0	7.0	1	1	1	1	1
gi|17544719	651436	7.0	7.0	1	1	1	1	1
gi|17986284	823809	94.0	94.0	1	1	1	1	1
gi|17988344	823809	94.0	94.0	1	1	1	1	1
gi|18308982	4448928	41.0	41.0	1	1	1	1	1
gi|58036263	650171	16.0	16.0	3.0	5.0	1	1	1
gi|20088899	2940299	1	1	1	1	1	1	1
gi|32141095	592398	450.0	450.0	1	1	1	1	1
gi|21226102	2940299	1	1	1	1	1	1	1
gi|42779081	1532107	106557.0	106557.0	1	1	1	1	1
gi|30260195	1532107	106557.0	106557.0	1	1	1	1	1
